states	PB2	PA	HA	NP	NA	MP	NS
29200000	2	5	3	5	2	2	5
29220000	2	4	3	5	2	2	4
29240000	2	5	3	8	2	2	5
29260000	2	5	3	5	2	2	4
29280000	2	5	3	5	2	2	3
29300000	2	5	3	5	2	2	5
29320000	2	5	3	5	2	2	5
29340000	2	5	3	5	2	2	5
29360000	2	5	3	6	2	2	5
29380000	3	5	3	5	2	4	5
29400000	2	6	4	5	2	2	5
29420000	2	8	3	8	2	2	6
29440000	2	5	3	5	2	2	4
29460000	3	5	4	5	2	2	6
29480000	2	5	3	5	2	2	4
29500000	2	4	3	5	2	2	5
29520000	2	5	3	5	2	2	4
29540000	2	5	3	5	2	2	5
29560000	2	5	3	5	2	3	3
29580000	2	5	3	5	2	2	5
29600000	2	6	3	5	2	2	4
29620000	2	5	3	5	2	2	4
29640000	2	5	3	5	2	2	3
29660000	2	6	5	5	2	2	6
29680000	2	8	3	5	2	2	4
29700000	2	6	3	5	2	2	6
29720000	2	5	4	5	2	2	6
29740000	2	5	3	5	2	2	4
29760000	2	5	3	5	2	2	4
29780000	2	5	3	5	2	2	4
29800000	3	8	3	5	3	2	5
29820000	2	6	3	5	2	2	4
29840000	2	5	4	5	2	2	6
29860000	2	5	3	5	2	2	4
29880000	2	4	4	7	2	2	4
29900000	3	5	3	5	2	2	3
29920000	2	5	4	5	2	2	4
29940000	2	5	4	5	2	2	5
29960000	2	5	3	6	2	2	6
29980000	2	5	3	7	2	2	4
30000000	2	7	3	7	2	2	5
30020000	2	4	3	5	2	3	4
30040000	2	5	3	5	2	2	5
30060000	2	5	3	5	2	2	5
30080000	2	5	3	5	2	2	3
30100000	2	5	4	5	2	2	5
30120000	2	5	3	5	2	2	5
30140000	2	5	3	5	2	2	3
30160000	2	5	3	5	2	2	4
30180000	2	4	3	5	2	2	5
30200000	2	5	4	6	2	2	4
30220000	2	7	3	5	2	2	5
30240000	2	5	3	5	2	2	5
30260000	2	5	3	5	2	2	4
30280000	2	5	4	5	2	2	6
30300000	2	5	4	6	2	4	4
30320000	2	6	3	7	3	2	4
30340000	3	5	3	5	3	2	5
30360000	2	5	3	5	2	2	4
30380000	2	6	3	5	2	2	6
30400000	2	5	4	5	2	2	5
30420000	2	5	3	5	2	2	3
30440000	2	5	3	6	2	2	4
30460000	2	5	3	5	3	2	5
30480000	2	5	3	5	2	2	6
30500000	2	6	4	5	3	2	4
