states	PB1	PB2	PA	HA	NP	NA	NS
29500000	4	4	2	5	4	2	10
29520000	4	4	2	4	4	3	9
29540000	4	4	2	5	4	3	9
29560000	4	4	4	4	3	3	10
29580000	6	4	2	5	3	2	9
29600000	4	4	2	5	3	2	12
29620000	4	4	2	5	3	2	9
29640000	4	4	2	5	4	3	9
29660000	4	3	2	4	3	3	8
29680000	4	3	4	5	3	2	9
29700000	5	4	4	5	4	2	8
29720000	5	4	3	5	4	3	10
29740000	5	5	3	5	3	3	9
29760000	4	3	6	5	3	2	8
29780000	5	3	5	5	3	3	10
29800000	4	3	6	5	5	2	11
29820000	4	3	4	5	3	2	10
29840000	4	4	6	5	3	2	10
29860000	4	4	5	5	3	3	9
29880000	4	4	3	5	5	3	10
29900000	5	4	3	5	6	4	9
29920000	5	4	3	5	3	3	10
29940000	4	4	3	5	3	2	9
29960000	4	4	5	5	3	3	9
29980000	4	3	4	5	4	2	9
30000000	6	4	5	5	3	2	12
30020000	5	4	3	6	3	2	10
30040000	4	4	7	5	3	2	10
30060000	4	5	2	4	3	2	10
30080000	4	3	4	4	5	2	9
30100000	4	4	2	6	3	2	8
30120000	4	4	4	4	3	2	11
30140000	4	4	3	6	4	2	8
30160000	5	5	2	5	4	2	10
30180000	4	4	2	5	3	3	10
30200000	4	4	2	4	5	3	8
30220000	5	3	3	5	4	2	9
30240000	4	5	2	4	4	3	10
30260000	4	5	4	5	4	2	9
30280000	4	4	2	6	4	2	8
30300000	4	4	4	5	6	3	12
30320000	5	4	3	5	6	4	10
30340000	4	4	3	5	3	3	8
30360000	4	3	2	4	4	2	10
30380000	4	4	3	5	4	2	9
30400000	4	4	2	5	4	3	8
30420000	4	5	3	5	5	4	10
30440000	4	4	3	5	5	3	11
30460000	5	3	3	5	4	3	9
30480000	4	4	6	5	3	2	9
30500000	5	4	8	4	3	3	9
30520000	4	4	2	5	4	3	10
30540000	4	4	3	5	4	3	9
30560000	4	4	3	4	3	2	9
30580000	4	3	3	5	5	2	9
30600000	4	4	4	4	4	2	9
30620000	5	4	4	5	3	3	9
30640000	4	4	3	4	4	2	9
30660000	4	4	3	5	4	2	9
30680000	4	4	3	5	5	2	10
30700000	7	4	4	5	6	2	9
30720000	5	4	3	5	4	2	9
30740000	5	4	3	5	4	2	8
30760000	4	4	3	5	4	2	9
30780000	5	4	3	6	4	2	8
30800000	5	4	3	5	4	3	9
30820000	5	4	2	5	4	3	9
30840000	4	4	2	4	4	3	9
30860000	4	5	3	4	4	2	9
30880000	4	4	2	5	3	2	10
30900000	4	4	3	6	5	3	9
30920000	4	4	2	4	4	3	10
30940000	4	4	2	4	5	2	8
30960000	4	4	2	4	3	3	9
30980000	4	4	3	5	3	2	10
31000000	4	4	2	4	3	3	10
31020000	4	4	3	4	3	3	11
31040000	4	4	2	4	5	2	11
31060000	5	3	2	4	3	2	9
31080000	4	4	3	7	5	2	9
31100000	4	4	2	4	3	3	9
31120000	4	5	3	4	3	2	9
31140000	4	4	2	5	3	2	9
31160000	4	4	2	5	4	2	9
31180000	4	5	3	5	3	2	9
31200000	4	4	8	5	3	2	9
31220000	4	4	4	5	3	2	9
31240000	4	4	5	5	3	2	8
31260000	5	3	6	5	3	2	8
31280000	4	3	3	4	4	3	11
31300000	5	3	3	5	3	2	9
31320000	4	5	2	5	4	2	9
31340000	4	4	3	5	3	2	9
