states	PB1	PB2	PA	HA	NP	MP	NS
30200000	4	2	5	5	6	3	5
30220000	4	2	5	5	5	3	5
30240000	4	2	5	5	5	3	5
30260000	3	2	5	4	5	3	5
30280000	3	2	5	6	5	3	5
30300000	4	2	5	6	6	3	5
30320000	4	2	5	6	6	3	5
30340000	4	2	5	5	7	3	5
30360000	4	2	5	5	8	3	5
30380000	5	2	5	6	7	3	5
30400000	4	3	4	4	6	3	6
30420000	4	2	5	6	6	3	6
30440000	4	2	5	6	7	4	5
30460000	4	2	5	5	6	3	6
30480000	4	2	5	5	7	3	5
30500000	4	2	5	6	7	3	6
30520000	4	2	5	6	7	3	5
30540000	4	2	5	5	5	3	6
30560000	5	2	5	6	8	3	5
30580000	4	2	5	6	5	3	5
30600000	4	2	5	6	5	3	5
30620000	4	2	4	6	6	3	6
30640000	4	2	5	5	8	3	5
30660000	4	2	6	5	5	3	5
30680000	4	2	5	5	8	3	6
30700000	4	2	5	5	7	3	5
30720000	4	2	5	5	6	5	5
30740000	4	2	6	5	7	3	4
30760000	4	2	5	6	6	3	6
30780000	4	4	8	5	6	3	5
30800000	4	2	6	5	7	5	5
30820000	4	2	5	5	7	3	5
30840000	3	2	4	5	7	3	5
30860000	4	2	5	6	7	3	5
30880000	4	2	5	6	7	3	5
30900000	4	2	7	5	8	3	6
30920000	4	2	5	5	6	3	5
30940000	4	2	4	5	8	3	5
30960000	4	2	4	7	7	3	6
30980000	4	2	5	6	7	3	5
31000000	4	2	5	6	6	3	5
31020000	4	2	5	5	9	3	6
31040000	4	2	6	6	7	3	5
31060000	4	2	4	5	5	4	6
31080000	4	2	4	6	6	3	5
31100000	4	3	6	5	9	4	6
31120000	4	2	6	6	9	3	5
31140000	4	2	7	6	5	3	6
31160000	4	2	7	6	5	3	5
31180000	4	2	4	6	6	3	5
31200000	4	2	5	5	6	5	5
31220000	4	2	4	6	6	3	5
31240000	4	2	5	5	7	3	5
31260000	4	2	5	5	8	3	5
31280000	4	2	6	7	7	3	5
31300000	5	2	5	5	7	3	6
31320000	4	2	5	5	8	4	5
31340000	4	2	5	6	5	3	6
31360000	4	2	4	4	5	3	7
31380000	4	2	6	5	6	3	6
31400000	4	2	5	5	7	3	5
31420000	4	2	6	6	8	3	5
31440000	4	2	5	5	7	3	5
31460000	5	2	5	5	5	3	5
31480000	4	2	5	7	7	3	6
31500000	4	2	5	5	7	3	6
31520000	4	2	5	6	6	3	5
31540000	4	2	5	5	8	3	5
31560000	4	2	5	7	7	4	5
31580000	4	2	4	4	12	3	6
31600000	4	2	4	4	6	4	6
31620000	5	2	5	5	6	4	6
31640000	4	3	5	6	7	3	4
31660000	4	2	5	7	7	3	5
31680000	4	3	5	6	7	3	5
31700000	4	2	5	6	7	4	5
31720000	4	2	5	5	7	3	5
31740000	4	2	5	5	7	3	6
31760000	4	2	5	5	8	3	5
31780000	4	2	5	5	7	3	6
31800000	4	2	5	5	7	3	5
31820000	4	2	5	5	7	3	5
31840000	4	2	5	5	9	3	5
31860000	4	2	4	6	7	3	5
31880000	4	2	5	5	6	3	5
31900000	4	2	7	6	5	3	5
31920000	4	2	5	5	6	4	6
31940000	4	2	5	5	6	3	5
31960000	4	2	6	4	6	3	6
31980000	4	2	5	7	7	3	6
32000000	4	2	5	5	6	5	6
32020000	5	2	5	5	7	3	6
32040000	4	2	4	4	6	3	6
32060000	4	2	4	4	7	3	6
32080000	4	2	4	6	7	3	6
32100000	4	2	4	5	7	3	6
32120000	4	2	6	7	6	3	5
32140000	4	2	5	5	8	3	6
32160000	4	2	5	6	6	3	5
32180000	4	2	5	5	7	3	5
32200000	4	2	6	6	7	3	7
32220000	4	2	5	7	8	3	6
32240000	4	2	5	5	6	3	5
32260000	4	2	5	5	6	3	5
32280000	4	2	4	4	7	3	7
32300000	4	2	5	6	6	3	6
32320000	4	2	5	5	6	3	6
32340000	4	2	5	6	8	3	5
32360000	4	2	5	5	9	3	5
32380000	4	2	5	5	7	3	6
32400000	4	2	5	6	6	3	5
32420000	4	2	5	7	7	3	5
32440000	4	2	5	5	7	3	7
32460000	4	2	4	6	7	6	5
32480000	4	2	5	6	7	3	5
32500000	4	2	5	6	6	3	5
32520000	4	2	5	5	6	3	5
32540000	4	2	4	5	6	3	5
32560000	4	2	5	5	6	3	5
32580000	4	2	4	4	8	3	6
32600000	4	2	5	6	8	3	5
32620000	4	2	5	5	7	3	5
32640000	4	2	5	6	7	5	4
32660000	4	2	7	5	7	3	5
32680000	4	2	5	6	7	3	5
32700000	4	2	5	6	5	3	5
32720000	4	2	5	5	5	3	6
32740000	4	2	4	6	5	3	5
32760000	4	2	5	8	7	3	7
32780000	4	2	5	6	7	3	5
32800000	4	2	5	6	7	3	5
32820000	4	2	5	5	6	3	6
32840000	4	2	5	5	7	3	5
32860000	4	2	7	6	6	3	5
32880000	4	2	5	6	8	3	5
32900000	4	2	5	5	7	3	5
32920000	4	2	5	6	7	3	5
32940000	4	2	4	5	7	3	5
32960000	4	2	5	6	6	3	5
32980000	4	2	5	5	8	3	5
33000000	4	2	5	6	6	3	5
33020000	4	2	5	5	6	3	5
33040000	4	2	5	7	6	3	6
33060000	4	2	5	5	7	3	6
33080000	4	2	6	6	7	3	5
33100000	4	2	8	6	6	3	6
33120000	4	2	4	5	7	4	6
33140000	4	2	5	6	6	3	5
33160000	4	2	5	5	6	3	5
33180000	4	2	4	4	7	3	6
33200000	4	2	5	6	7	3	5
33220000	4	2	5	5	8	3	5
33240000	4	2	5	6	7	3	6
33260000	4	3	5	7	6	3	5
33280000	4	2	5	7	7	3	8
33300000	4	2	5	5	8	3	5
33320000	4	2	4	6	7	3	6
33340000	4	2	5	8	6	3	5
33360000	4	2	5	6	8	3	7
33380000	5	2	5	4	6	3	5
33400000	4	2	5	4	8	3	5
33420000	4	2	5	4	7	3	5
33440000	4	3	5	5	7	3	5
33460000	4	2	9	5	6	3	5
33480000	4	2	5	6	6	3	6
33500000	4	2	4	5	7	3	6
33520000	4	2	5	5	6	3	7
33540000	4	2	5	6	7	3	5
33560000	4	2	6	6	9	4	5
33580000	4	2	5	5	6	3	5
33600000	4	3	7	6	7	3	5
33620000	4	2	6	5	7	3	5
33640000	4	2	5	5	6	3	6
33660000	4	2	5	6	6	3	5
33680000	4	2	5	6	7	3	5
33700000	4	2	5	5	7	3	5
33720000	4	2	5	5	7	3	5
33740000	4	2	5	5	6	3	6
33760000	4	2	5	6	9	3	5
33780000	4	2	4	6	8	3	5
33800000	4	2	5	6	7	3	5
33820000	4	2	5	5	7	4	5
33840000	5	2	5	6	7	3	5
33860000	4	2	5	5	7	3	9
33880000	4	2	5	6	9	3	5
33900000	5	2	5	5	6	3	5
33920000	4	2	8	5	8	5	5
33940000	4	2	5	5	5	3	6
33960000	4	2	4	4	5	4	6
33980000	4	2	6	6	5	3	6
34000000	4	2	5	5	5	3	5
34020000	4	2	5	5	5	3	5
34040000	4	2	4	4	6	5	6
34060000	4	2	5	5	7	3	5
34080000	4	2	5	6	5	3	5
34100000	4	2	4	4	5	4	6
34120000	4	2	5	5	5	3	6
34140000	4	2	6	4	6	3	6
34160000	4	2	6	6	6	3	6
34180000	4	2	5	5	7	4	6
34200000	4	3	4	4	5	3	7
34220000	4	2	5	6	6	3	5
34240000	4	2	4	4	7	5	6
34260000	4	2	5	6	6	3	6
34280000	4	2	5	5	7	3	6
34300000	4	2	5	6	7	3	6
34320000	4	2	6	5	7	3	5
34340000	4	2	5	5	5	3	6
34360000	4	2	4	5	6	3	5
34380000	4	2	5	5	6	3	7
34400000	4	2	5	6	6	3	6
34420000	4	2	5	5	6	4	5
34440000	4	2	5	6	9	3	6
34460000	4	2	5	6	7	5	6
34480000	4	2	5	5	7	3	5
34500000	4	2	6	6	8	3	6
34520000	4	2	5	6	7	3	5
34540000	4	2	5	5	7	3	5
34560000	4	2	5	5	7	3	5
34580000	4	2	5	6	6	3	5
34600000	4	2	5	5	6	3	5
34620000	4	2	5	5	5	3	6
34640000	4	2	5	5	5	3	6
34660000	5	2	5	5	6	3	5
34680000	5	2	4	6	6	3	5
34700000	4	2	5	6	9	3	5
34720000	4	2	5	5	6	3	6
34740000	4	3	5	5	7	3	5
34760000	4	2	5	5	7	3	7
34780000	4	2	5	5	7	3	7
34800000	4	2	5	5	7	3	6
34820000	4	2	5	5	7	3	5
34840000	4	3	5	6	7	5	5
34860000	4	2	7	6	7	3	6
34880000	5	2	5	6	6	3	6
34900000	4	2	5	6	7	3	6
34920000	5	2	4	5	7	3	5
34940000	4	2	5	5	6	3	6
34960000	4	2	6	6	7	3	5
34980000	4	2	4	4	6	3	6
35000000	4	2	4	4	6	3	6
35020000	4	2	5	5	9	3	5
35040000	4	2	5	6	9	4	5
35060000	4	2	5	6	6	3	5
35080000	4	2	5	5	9	5	6
35100000	4	2	5	6	8	3	5
35120000	4	2	5	5	7	3	5
35140000	4	2	5	6	7	3	5
35160000	4	2	5	5	7	3	5
35180000	4	2	5	5	6	3	5
35200000	4	2	5	5	7	3	5
35220000	4	2	5	6	7	4	5
35240000	4	2	5	5	8	3	6
35260000	4	2	7	6	6	3	5
35280000	4	2	7	5	7	3	5
35300000	4	2	7	5	8	3	5
35320000	4	2	5	6	6	3	6
35340000	4	2	5	6	10	3	4
35360000	4	2	5	5	6	4	5
35380000	4	2	5	6	5	4	5
